,lat,lng,sup_t,precio
340,-32.99549154666629,-68.86162163310705,500,38000
341,-32.993030241714,-68.8570089150366,500,38000
342,-32.988347252766374,-68.89479714620255,1012,80000
352,-32.969885958582495,-68.87655485407683,300,55000
355,-32.995243335881,-68.841839432716,549,28500
358,-33.00019423807425,-68.83104507249146,520,24000
364,-32.98095619816112,-68.83148724527678,500,45000
366,-32.99108612801083,-68.89844138063717,507,47000
377,-32.9894567,-68.8257631,500,32000
380,-32.98305702815037,-68.82206799468995,500,40000
382,-32.987636801302926,-68.85898377541281,500,35000
383,-33.00046269524315,-68.83058305819702,500,24000
391,-32.99518740310221,-68.84542831163941,380,22000
400,-32.9698775,-68.8435329,956,43000
401,-32.9698775,-68.8435329,450,28000
405,-32.99346964579233,-68.83685828209228,500,26500
411,-32.99760131287862,-68.82839437564087,500,18000
419,-32.980504153722,-68.805441856384,300,26000
420,-32.997350092924414,-68.82108721163941,500,25000
426,-32.99713353973456,-68.85413358697264,534,38000
432,-32.988601073249036,-68.82951726471943,300,25000
458,-32.970861506048216,-68.82236381411448,756,40000
465,-32.977396426481796,-68.81244606928479,240,25000
480,-32.96423600747885,-68.86398610961466,6000,600000
481,-32.994822807303876,-68.87313528691536,2000,130000
489,-33.00017635288678,-68.83020775659301,450,18000
494,-32.98924527987404,-68.82936402263184,500,38000
501,-32.962858633320984,-68.85030519629517,1109,78000
511,-32.98937351682454,-68.8674172899408,815,40000
515,-32.996737615786564,-68.85441253671019,500,35000
538,-32.98854971886997,-68.88005653614361,390,45000
546,-32.971569754375,-68.835482597351,350,32000
549,-32.978685006285986,-68.82690028440855,407,30000
559,-32.97240568981486,-68.82487825532226,410,36000
562,-32.987698413143015,-68.90844881243896,550,61000
571,-32.97375793113525,-68.82550954004516,348,24000
581,-32.97870509925819,-68.87968323596802,968,150000
583,-32.98160919341037,-68.82136427721557,380,32900
589,-32.97048221834777,-68.81960201957398,745,45000
614,-32.981505041457474,-68.81227963819617,500,29500
617,-32.992020260911836,-68.82665993652344,500,28500
622,-32.97036246057333,-68.83059412009888,390,35000
623,-32.954128,-68.85141159999999,801,79500
624,-32.989678646741176,-68.89854105035504,576,50000
627,-32.99225026395154,-68.87128539577026,2000,82000
637,-32.9678691,-68.8388846,240,16800
651,-32.98639351755375,-68.83021413989258,500,39800
653,-32.984969204294615,-68.86860811714615,750,63000
655,-32.996736508027816,-68.82400023118286,750,13500
657,-32.98691093413021,-68.85743806847898,591,47990
666,-32.979229151869,-68.863506317139,700,53000
668,-32.9924864,-68.826751,500,35000
671,-32.98049633146803,-68.82194140660289,750,20000
672,-32.995237137882775,-68.84508113154737,350,22000
674,-32.9890868,-68.8762653,865,98000
678,-32.99016861833115,-68.89910886773436,500,55000
680,-32.98924941974266,-68.91057114117874,567,49000
681,-32.971340783197235,-68.82563779839842,473,61500
682,-32.97175482274048,-68.82430742272703,664,66400
683,-32.971448793699984,-68.82523010262815,436,39000
685,-32.977885430191,-68.803108334541,300,21700
688,-32.987988260837,-68.830594540985,600,40000
689,-32.987988260837,-68.830594540985,600,48000
692,-32.9871733,-68.8349156,1000,45000
693,-32.99405168690239,-68.81530551545636,800,20000
705,-32.9979992443505,-68.81734165344237,500,25000
707,-32.97878418469911,-68.86479896973327,700,53000
717,-32.99792319073952,-68.8258219947174,500,27000
720,-33.00002029912299,-68.82939734152528,500,18500
722,-32.97596342994855,-68.87112346386346,1372,68000
723,-32.9980559,-68.8726145,569,40000
727,-32.99519431907502,-68.84578838377111,384,22500
753,-32.987935213680224,-68.8951124263781,1400,80000
754,-32.971330408863764,-68.83532136560667,340,30500
758,-32.9889915836168,-68.87360156239623,750,60000
759,-32.990175306895914,-68.89576346117364,1400,85000
765,-32.963704702121504,-68.86119693278808,5445,550000
771,-32.9871733,-68.8349156,500,40000
784,-32.990631512771,-68.859729766846,520,55000
789,-32.964852358839074,-68.86792866886026,661,53000
794,-32.99538270000001,-68.89756734232787,750,60000
800,-32.9795555935575,-68.87603412846875,415,70000
802,-32.95054655290673,-68.84120273825951,522,42000
812,-32.97173176966,-68.824826674923,407,27900
813,-32.97303868206,-68.825031304418,445,35000
821,-32.99725041578702,-68.85419848289796,589,40000
822,-32.98799866584296,-68.8306676442993,500,45000
824,-32.9652259,-68.8432894,300,38500
828,-32.989155678477,-68.899512290955,509,55000
837,-32.99067245759454,-68.86817815628353,1000,55000
842,-32.99229257229609,-68.86900406331182,750,47000
852,-32.9849407,-68.8921839,700,55000
856,-32.98819212616123,-68.83089669898071,500,46000
874,-32.98883357813176,-68.8628172087454,500,35000
876,-32.9946829,-68.8736127,4600,300000
898,-32.99853220591229,-68.83084774017334,517,25000
912,-32.9909007,-68.8188332,510,25000
913,-32.99518643113403,-68.85923110406836,500,40000
925,-32.9960407109446,-68.90020829218751,6800,550000
931,-32.995829881415304,-68.83994493171397,350,21500
936,-32.97119957810361,-68.8205867208984,900,55000
